date,temperature,precipitation,city,country,continent,latitude,longitude
1990-01-03,21.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-05,20.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-08,20.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-10,21.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-11,21.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-13,18.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-14,19.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-15,21.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-16,22.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-19,21.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-20,20.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-22,22.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-24,21.5,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-25,22.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-26,22.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-27,21.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-28,19.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-29,20.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-01-30,21.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-01,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-02,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-05,22.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-06,22.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-07,20.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-08,22.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-11,22.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-12,23.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-14,24.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-15,24.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-17,25.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-18,23.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-19,26.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-20,24.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-21,24.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-22,24.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-23,26.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-24,25.6,0.0,Bangalore,India,Asia,26.3,73.0167
1990-02-25,25.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-01,26.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-02,27.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-03,25.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-05,26.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-07,26.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-08,26.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-09,26.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-10,21.6,2.3,Bangalore,India,Asia,26.3,73.0167
1990-03-11,23.1,1.0,Bangalore,India,Asia,26.3,73.0167
1990-03-12,25.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-13,26.4,0.3,Bangalore,India,Asia,26.3,73.0167
1990-03-14,25.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-15,28.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-18,24.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-19,26.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-20,25.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-21,26.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-22,27.5,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-23,27.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-26,26.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-27,27.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-29,27.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-30,28.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-03-31,28.5,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-03,29.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-05,26.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-06,26.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-09,27.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-11,29.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-12,27.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-13,29.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-16,28.1,21.3,Bangalore,India,Asia,26.3,73.0167
1990-04-17,26.7,8.4,Bangalore,India,Asia,26.3,73.0167
1990-04-18,28.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-19,28.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-20,26.6,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-21,28.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-23,30.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-24,30.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-25,29.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-04-27,29.9,182.1,Bangalore,India,Asia,26.3,73.0167
1990-04-28,28.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-02,27.1,3.0,Bangalore,India,Asia,26.3,73.0167
1990-05-03,26.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-08,25.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-09,26.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-12,27.1,1.0,Bangalore,India,Asia,26.3,73.0167
1990-05-13,26.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-14,26.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-15,27.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-16,27.6,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-18,26.2,21.8,Bangalore,India,Asia,26.3,73.0167
1990-05-19,26.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-20,23.9,1.3,Bangalore,India,Asia,26.3,73.0167
1990-05-21,24.8,2.3,Bangalore,India,Asia,26.3,73.0167
1990-05-22,23.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-05-23,24.2,2.0,Bangalore,India,Asia,26.3,73.0167
1990-05-25,23.4,85.1,Bangalore,India,Asia,26.3,73.0167
1990-06-01,25.5,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-02,24.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-03,22.9,15.0,Bangalore,India,Asia,26.3,73.0167
1990-06-12,22.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-13,23.8,1.5,Bangalore,India,Asia,26.3,73.0167
1990-06-14,24.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-16,23.6,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-18,23.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-20,23.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-23,24.5,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-25,23.5,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-27,22.6,0.0,Bangalore,India,Asia,26.3,73.0167
1990-06-29,23.1,5.6,Bangalore,India,Asia,26.3,73.0167
1990-06-30,23.4,1.0,Bangalore,India,Asia,26.3,73.0167
1990-07-01,22.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-02,22.3,8.4,Bangalore,India,Asia,26.3,73.0167
1990-07-03,22.2,1.0,Bangalore,India,Asia,26.3,73.0167
1990-07-04,22.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-05,24.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-07,22.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-08,21.5,0.5,Bangalore,India,Asia,26.3,73.0167
1990-07-09,22.7,0.3,Bangalore,India,Asia,26.3,73.0167
1990-07-11,22.3,1.8,Bangalore,India,Asia,26.3,73.0167
1990-07-12,21.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-13,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-15,22.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-20,23.8,2.0,Bangalore,India,Asia,26.3,73.0167
1990-07-23,21.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-25,22.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-30,24.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-31,23.9,2.3,Bangalore,India,Asia,26.3,73.0167
