latitude,longitude,temperature,pressure,humidity,wind_direction,wind_speed,cloud_cover,precipitation
52.50044,2.250475,6.9,1005.3,77.0,47.0,10.2,6.0,0.0
52.524146,2.45069,7.0,1005.2,76.0,48.0,10.5,6.0,0.0
52.547483,2.65113,7.0,1005.1,75.0,47.0,10.7,5.0,0.0
52.570449,2.851791,7.0,1005.0,74.0,46.0,10.9,6.0,0.0
52.593044,3.05267,7.0,1004.9,74.0,46.0,10.8,6.0,0.0
52.615268,3.253765,6.9,1004.8,74.0,46.0,10.8,6.0,0.0
52.63712,3.455071,6.9,1004.7,74.0,45.0,10.8,6.0,0.0
52.658599,3.656586,6.9,1004.7,74.0,44.0,10.8,6.0,0.0
52.679704,3.858306,6.9,1004.6,74.0,43.0,10.8,6.0,0.0
52.700435,4.060228,6.9,1004.5,74.0,42.0,10.4,7.0,0.0
52.720792,4.26235,6.9,1004.5,73.0,45.0,10.1,7.0,0.0
52.740773,4.464667,7.0,1004.5,72.0,43.0,10.0,8.0,0.0
52.760378,4.667176,8.0,1004.4,68.0,41.0,7.0,8.0,0.0
52.779607,4.869874,8.3,1004.4,65.0,39.0,6.2,8.0,0.0
52.798458,5.072757,8.1,1004.4,66.0,37.0,6.8,8.0,0.0
52.816932,5.275823,7.5,1004.3,68.0,37.0,8.0,8.0,0.0
52.835027,5.479067,8.0,1004.2,68.0,39.0,7.1,8.0,0.0
52.852743,5.682486,8.6,1004.3,66.0,38.0,6.3,8.0,0.0
52.87008,5.886078,8.5,1004.3,64.0,37.0,5.6,8.0,0.0
52.887037,6.089837,8.4,1004.3,64.0,35.0,5.3,8.0,0.0
52.903614,6.293762,8.8,1004.3,63.0,33.0,4.0,8.0,0.0
52.919809,6.497847,8.4,1004.4,63.0,31.0,4.6,8.0,0.0
52.935623,6.702091,8.4,1004.4,63.0,25.0,4.0,8.0,0.0
52.951055,6.906488,8.1,1004.5,62.0,22.0,4.6,8.0,0.0
52.966105,7.111036,8.1,1004.4,63.0,19.0,4.3,8.0,0.0
52.980772,7.315731,8.4,1004.4,63.0,15.0,4.0,8.0,0.0
52.995055,7.52057,8.4,1004.3,63.0,19.0,3.9,8.0,0.0
53.008954,7.725548,8.3,1004.3,60.0,14.0,3.6,8.0,0.0
53.022469,7.930662,8.5,1004.3,59.0,8.0,3.3,8.0,0.0
53.035599,8.135909,8.5,1004.3,60.0,14.0,2.9,8.0,0.0
53.048345,8.341285,8.1,1004.3,61.0,4.0,3.5,8.0,0.0
53.060704,8.546785,8.1,1004.2,61.0,351.0,3.5,8.0,0.0
53.072678,8.752407,8.9,1004.1,59.0,343.0,3.2,8.0,0.0
53.084266,8.958146,8.8,1004.0,57.0,338.0,2.9,8.0,0.0
53.095466,9.163999,8.5,1004.0,55.0,332.0,2.8,8.0,0.0
53.10628,9.369962,8.8,1003.9,55.0,317.0,2.4,8.0,0.0
53.116706,9.576032,8.4,1003.9,54.0,318.0,2.7,8.0,0.0
53.126745,9.782204,8.3,1003.8,56.0,310.0,2.8,8.0,0.0
53.136396,9.988474,8.6,1003.6,56.0,295.0,2.3,7.0,0.0
53.145658,10.19484,8.8,1003.5,56.0,313.0,2.4,7.0,0.0
53.154532,10.401296,8.8,1003.5,57.0,308.0,2.5,7.0,0.0
53.163017,10.60784,8.5,1003.4,57.0,299.0,2.5,7.0,0.0
53.171113,10.814467,8.3,1003.3,58.0,297.0,3.2,6.0,0.0
53.178819,11.021174,8.9,1003.3,58.0,298.0,2.9,6.0,0.0
53.186135,11.227956,8.9,1003.2,57.0,286.0,2.9,6.0,0.0
53.193062,11.43481,8.9,1003.1,57.0,276.0,3.2,6.0,0.0
53.199599,11.641732,8.6,1003.1,58.0,271.0,3.5,5.0,0.0
53.205745,11.848717,8.3,1003.0,58.0,269.0,3.9,6.0,0.0
53.2115,12.055763,8.1,1003.0,59.0,264.0,3.7,6.0,0.0
53.216865,12.262865,7.5,1003.0,60.0,262.0,4.5,6.0,0.0
53.221839,12.470019,8.0,1002.9,61.0,261.0,4.2,6.0,0.0
53.226422,12.677222,8.4,1002.8,63.0,259.0,3.7,6.0,0.0
53.230614,12.884468,8.6,1002.7,66.0,264.0,3.9,6.0,0.0
53.234415,13.091755,8.8,1002.6,68.0,265.0,3.6,6.0,0.0
53.237823,13.299079,8.5,1002.5,70.0,261.0,3.8,6.0,0.0
53.240841,13.506435,8.6,1002.5,70.0,264.0,3.6,6.0,0.0
53.243467,13.71382,8.6,1002.4,67.0,269.0,4.0,6.0,0.0
53.245701,13.921229,8.8,1002.3,65.0,268.0,5.5,6.0,0.0
53.247543,14.128659,9.1,1002.3,65.0,262.0,4.8,7.0,0.0
53.248993,14.336105,9.1,1002.2,64.0,265.0,4.9,7.0,0.0
53.250051,14.543565,9.3,1002.2,66.0,266.0,4.2,8.0,0.0
53.250718,14.751033,8.9,1002.2,68.0,269.0,4.7,8.0,0.0
53.250992,14.958505,8.3,1002.2,69.0,257.0,5.0,8.0,0.0
53.250875,15.165979,8.1,1002.2,72.0,255.0,4.7,8.0,0.0
53.250365,15.373449,8.1,1002.2,74.0,258.0,4.2,8.0,0.0
53.249463,15.580912,7.5,1002.1,74.0,263.0,5.7,8.0,0.0
53.24817,15.788364,8.0,1002.0,72.0,267.0,3.8,8.0,0.0
53.246484,15.995801,8.6,1001.8,71.0,265.0,3.1,8.0,0.0
53.244407,16.203219,8.0,1001.8,70.0,266.0,5.0,8.0,0.0
53.241938,16.410614,8.0,1001.8,69.0,266.0,5.2,8.0,0.0
53.239077,16.617982,8.0,1001.7,68.0,263.0,5.4,8.0,0.0
53.235825,16.825319,8.6,1001.6,68.0,262.0,3.4,8.0,0.0
53.232181,17.032621,8.5,1001.6,70.0,275.0,5.6,8.0,0.0
53.228146,17.239885,7.6,1001.6,71.0,269.0,5.4,8.0,0.0
53.223719,17.447105,7.1,1001.6,72.0,256.0,5.8,7.0,0.0
53.218902,17.654279,8.1,1001.4,72.0,252.0,5.7,8.0,0.0
53.213693,17.861403,8.8,1001.3,71.0,258.0,5.4,8.0,0.0
53.208094,18.068471,8.8,1001.3,69.0,263.0,4.9,7.0,0.0
53.202104,18.275481,9.1,1001.2,68.0,261.0,4.2,7.0,0.0
53.195723,18.482429,8.8,1001.2,67.0,265.0,5.1,8.0,0.0
53.188953,18.689311,8.4,1001.2,67.0,268.0,5.2,8.0,0.0
53.181792,18.896122,8.3,1001.3,68.0,268.0,5.7,8.0,0.0
